repeat,case_id,family_id,active_branch_id,active_branch_name,question_mode,condition,question,answer,prompt_tokens,response_tokens,prompt_chars,latency_ms,correct,polluted,expected_hits,forbidden_hits,active_branch_position,active_history_messages
1,nova_q01,nova,nova_b1,Nova Web,implicit,linear,当前这个项目最终使用什么数据库，负责人是谁？,确认，Nova Data 的最终数据库是 SQLite，负责人是 David。,4171,201,6781,9240.36,False,True,,SQLite | David,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,linear_tagged,当前这个项目最终使用什么数据库，负责人是谁？,数据库：SQLite，负责人：David。,4233,148,6888,1694.57,False,True,,SQLite | David,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,branch,当前这个项目最终使用什么数据库，负责人是谁？,Nova Web 当前有效的数据库是 PostgreSQL 16，负责人是 Alice。,1139,166,1772,1124.24,True,False,PostgreSQL 16 | Alice,,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,branch_compact_oracle,当前这个项目最终使用什么数据库，负责人是谁？,PostgreSQL 16 | Alice,495,120,776,702.0,True,False,PostgreSQL 16 | Alice,,0,41
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,linear,Nova Mobile 当前最终采用什么后端框架和缓存？,Express 与 Redis,4174,181,6787,1691.71,False,True,Express,Redis,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,linear_tagged,Nova Mobile 当前最终采用什么后端框架和缓存？,确认，Nova Mobile 的最终后端框架是 Express，缓存是 Redis。,4231,254,6903,2416.98,False,True,Express,Redis,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,branch,Nova Mobile 当前最终采用什么后端框架和缓存？,当前有效结论：后端框架为 Express，缓存为 Memcached。,1282,115,2139,949.5,True,False,Express | Memcached,,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,branch_compact_oracle,Nova Mobile 当前最终采用什么后端框架和缓存？,Express、Memcached,498,116,819,705.12,True,False,Express | Memcached,,1,48
1,nova_q03,nova,nova_b3,Nova Admin,implicit,linear,当前这个项目部署在哪个区域，服务端口是多少？,确认，Nova Mobile 的部署区域是 GCP us-central1，服务端口是 8200。,4173,309,6781,2610.35,False,True,,GCP us-central1 | 8200,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,linear_tagged,当前这个项目部署在哪个区域，服务端口是多少？,GCP us-central1，服务端口8200。,4230,224,6894,2254.65,False,True,,GCP us-central1 | 8200,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,branch,当前这个项目部署在哪个区域，服务端口是多少？,Azure eastasia，服务端口8300。,976,149,1606,1063.9,True,False,Azure eastasia | 8300,,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,branch_compact_oracle,当前这个项目部署在哪个区域，服务端口是多少？,"部署区域：Azure eastasia  
服务端口：8300",504,145,828,874.71,True,False,Azure eastasia | 8300,,2,34
1,nova_q04,nova,nova_b4,Nova Data,explicit,linear,Nova Data 的最终发布日期是什么时候，负责人是谁？,11月12日，负责人是 David。,4172,194,6788,1899.03,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,Nova Data,explicit,linear_tagged,Nova Data 的最终发布日期是什么时候，负责人是谁？,Nova Data 最终最终发布日期：11月12日。负责人：David。,4229,205,6898,2099.48,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,Nova Data,explicit,branch,Nova Data 的最终发布日期是什么时候，负责人是谁？,最终发布日期：11月12日。负责人：David。,910,109,1493,851.14,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,Nova Data,explicit,branch_compact_oracle,Nova Data 的最终发布日期是什么时候，负责人是谁？,"最终发布日期：11月12日  
负责人：David",488,88,819,560.65,True,False,11月12日 | David,,3,31
1,nova_q05,nova,nova_b5,Nova Edge,implicit,linear,当前这个产品的 Pro 方案多少钱，包含多少存储？,确认，当前产品Pro方案价格为149美元/月，包含2TB存储。,4172,449,6784,3429.91,True,False,149美元/月 | 2TB,,4,30
1,nova_q05,nova,nova_b5,Nova Edge,implicit,linear_tagged,当前这个产品的 Pro 方案多少钱，包含多少存储？,当前产品Pro方案价格为149美元/月，包含2TB存储。,4229,160,6894,1839.42,True,False,149美元/月 | 2TB,,4,30
1,nova_q05,nova,nova_b5,Nova Edge,implicit,branch,当前这个产品的 Pro 方案多少钱，包含多少存储？,$149/月，2TB。,920,200,1455,1370.23,True,False,149美元/月 | 2TB,,4,30
1,nova_q05,nova,nova_b5,Nova Edge,implicit,branch_compact_oracle,当前这个产品的 Pro 方案多少钱，包含多少存储？,$149/月，2TB。,526,107,839,652.26,True,False,149美元/月 | 2TB,,4,30
1,nova_q06,nova,nova_b1,Nova Web,explicit,linear,Nova Web 的本地模型和 temperature 最终分别是什么？,Nova Web 的最终本地模型是 Qwen3 1.7B，最终temperature是 0。,4172,212,6795,2031.35,True,False,Qwen3 1.7B | 0,,0,41
1,nova_q06,nova,nova_b1,Nova Web,explicit,linear_tagged,Nova Web 的本地模型和 temperature 最终分别是什么？,Qwen3 1.7B | 1.0,4234,281,6902,2585.78,False,True,Qwen3 1.7B,1.0,0,41
1,nova_q06,nova,nova_b1,Nova Web,explicit,branch,Nova Web 的本地模型和 temperature 最终分别是什么？,Qwen3 1.7B 且 temperature 为 0。,1140,138,1786,966.0,True,False,Qwen3 1.7B | 0,,0,41
1,nova_q06,nova,nova_b1,Nova Web,explicit,branch_compact_oracle,Nova Web 的本地模型和 temperature 最终分别是什么？,"Qwen3 1.7B  
0",496,208,790,1313.21,True,False,Qwen3 1.7B | 0,,0,41
1,nova_q07,nova,nova_b2,Nova Mobile,implicit,linear,当前这个项目的数据库和后端框架最终是什么？,数据库：CockroachDB；后端框架：Go Gin。,4171,196,6780,1811.63,False,True,,CockroachDB | Go Gin,1,48
1,nova_q07,nova,nova_b2,Nova Mobile,implicit,linear_tagged,当前这个项目的数据库和后端框架最终是什么？,CockroachDB 作为数据库，Go Gin 作为后端框架。,4228,117,6896,1594.95,False,True,,CockroachDB | Go Gin,1,48
1,nova_q07,nova,nova_b2,Nova Mobile,implicit,branch,当前这个项目的数据库和后端框架最终是什么？,MongoDB 7 和 Express。,1279,145,2132,1078.9,True,False,MongoDB 7 | Express,,1,48
1,nova_q07,nova,nova_b2,Nova Mobile,implicit,branch_compact_oracle,当前这个项目的数据库和后端框架最终是什么？,MongoDB 7 / Express,495,83,812,571.35,True,False,MongoDB 7 | Express,,1,48
1,nova_q08,nova,nova_b3,Nova Admin,explicit,linear,Nova Admin 部署在哪个区域，生产数据库是什么？,确认，Nova Admin 的部署区域是 Azure eastasia，生产数据库为 MySQL 8。,4174,171,6787,1794.08,True,False,Azure eastasia | MySQL 8,,2,34
1,nova_q08,nova,nova_b3,Nova Admin,explicit,linear_tagged,Nova Admin 部署在哪个区域，生产数据库是什么？,Azure eastasia，MySQL 8。,4231,188,6900,2033.31,True,False,Azure eastasia | MySQL 8,,2,34
1,nova_q08,nova,nova_b3,Nova Admin,explicit,branch,Nova Admin 部署在哪个区域，生产数据库是什么？,Azure eastasia | MySQL 8,977,162,1612,1134.86,True,False,Azure eastasia | MySQL 8,,2,34
1,nova_q08,nova,nova_b3,Nova Admin,explicit,branch_compact_oracle,Nova Admin 部署在哪个区域，生产数据库是什么？,"部署区域：Azure eastasia  
生产数据库：MySQL 8",505,206,834,1197.6,True,False,Azure eastasia | MySQL 8,,2,34
1,nova_q09,nova,nova_b4,Nova Data,implicit,linear,当前这个版本最终发布日期和服务端口分别是什么？,当前版本的最终发布日期为 10月8日，服务端口为 8300。,4172,156,6782,1593.35,False,True,,10月8日 | 8300,3,31
1,nova_q09,nova,nova_b4,Nova Data,implicit,linear_tagged,当前这个版本最终发布日期和服务端口分别是什么？,当前这个版本最终发布日期是 10月8日，服务端口是 8300。,4229,231,6892,2337.01,False,True,,10月8日 | 8300,3,31
1,nova_q09,nova,nova_b4,Nova Data,implicit,branch,当前这个版本最终发布日期和服务端口分别是什么？,当前版本最终发布日期：11月12日。服务端口：9200。,910,211,1487,1482.08,True,False,11月12日 | 9200,,3,31
1,nova_q09,nova,nova_b4,Nova Data,implicit,branch_compact_oracle,当前这个版本最终发布日期和服务端口分别是什么？,11月12日 | 9200,488,129,813,749.73,True,False,11月12日 | 9200,,3,31
1,nova_q10,nova,nova_b5,Nova Edge,explicit,linear,Nova Edge 当前选用什么本地模型，Pro 存储是多少？,Qwen3 4B | 2TB,4175,174,6790,1795.78,True,False,Qwen3 4B | 2TB,,4,30
1,nova_q10,nova,nova_b5,Nova Edge,explicit,linear_tagged,Nova Edge 当前选用什么本地模型，Pro 存储是多少？,Qwen3 4B | 2TB,4232,194,6900,2210.83,True,False,Qwen3 4B | 2TB,,4,30
1,nova_q10,nova,nova_b5,Nova Edge,explicit,branch,Nova Edge 当前选用什么本地模型，Pro 存储是多少？,Qwen3 4B | 2TB,923,175,1461,1298.5,True,False,Qwen3 4B | 2TB,,4,30
1,nova_q10,nova,nova_b5,Nova Edge,explicit,branch_compact_oracle,Nova Edge 当前选用什么本地模型，Pro 存储是多少？,Qwen3 4B | 2TB,529,185,845,1116.85,True,False,Qwen3 4B | 2TB,,4,30
1,atlas_q01,atlas,atlas_b1,Atlas Analytics,implicit,linear,当前这个项目最终使用什么数据库，负责人是谁？,数据库：SQLite。负责人：David。,4798,216,8275,2156.44,False,True,,SQLite | David,1,45
1,atlas_q01,atlas,atlas_b1,Atlas Analytics,implicit,linear_tagged,当前这个项目最终使用什么数据库，负责人是谁？,当前有效数据库：SQLite。当前有效负责人：David。,4855,196,8403,2402.66,False,True,,SQLite | David,1,45
1,atlas_q01,atlas,atlas_b1,Atlas Analytics,implicit,branch,当前这个项目最终使用什么数据库，负责人是谁？,确认，Atlas Analytics 的最终数据库是 MongoDB 7，负责人是 Bob。,1199,159,2214,1315.8,True,False,MongoDB 7 | Bob,,1,45
