repeat,case_id,family_id,active_branch_id,active_branch_name,question_mode,condition,question,answer,prompt_tokens,response_tokens,prompt_chars,latency_ms,correct,polluted,expected_hits,forbidden_hits,active_branch_position,active_history_messages
1,nova_q01,nova,nova_b1,Nova Web,implicit,linear,当前这个项目最终使用什么数据库，负责人是谁？,确认，Nova Data 的最终数据库是 SQLite，负责人是 David。,4171,201,6781,4082.91,False,True,,SQLite | David,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,linear_tagged,当前这个项目最终使用什么数据库，负责人是谁？,数据库：SQLite，负责人：David。,4185,262,6798,8789.72,False,True,,SQLite | David,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,branch,当前这个项目最终使用什么数据库，负责人是谁？,"数据库：PostgreSQL 16  
负责人：Alice",1091,186,1682,1216.12,True,False,PostgreSQL 16 | Alice,,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,branch_compact_oracle,当前这个项目最终使用什么数据库，负责人是谁？,PostgreSQL 16，Alice,447,137,686,822.69,True,False,PostgreSQL 16 | Alice,,0,41
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,linear,Nova Mobile 当前最终采用什么后端框架和缓存？,Express 与 Redis,4174,181,6787,3565.81,False,True,Express,Redis,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,linear_tagged,Nova Mobile 当前最终采用什么后端框架和缓存？,确认，Nova Mobile 的最终后端框架是 Express，缓存是 Memcached。,4183,150,6807,4212.79,True,False,Express | Memcached,,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,branch,Nova Mobile 当前最终采用什么后端框架和缓存？,Express（后端框架）和Memcached（缓存）。,1234,203,2043,1432.32,True,False,Express | Memcached,,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,branch_compact_oracle,Nova Mobile 当前最终采用什么后端框架和缓存？,"Express, Memcached",450,131,723,776.48,True,False,Express | Memcached,,1,48
1,nova_q03,nova,nova_b3,Nova Admin,implicit,linear,当前这个项目部署在哪个区域，服务端口是多少？,确认，Nova Mobile 的部署区域是 GCP us-central1，服务端口是 8200。,4173,309,6781,4433.15,False,True,,GCP us-central1 | 8200,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,linear_tagged,当前这个项目部署在哪个区域，服务端口是多少？,GCP us-central1，服务端口8200。,4182,222,6800,4728.77,False,True,,GCP us-central1 | 8200,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,branch,当前这个项目部署在哪个区域，服务端口是多少？,Azure eastasia，服务端口8300。,928,137,1512,1036.31,True,False,Azure eastasia | 8300,,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,branch_compact_oracle,当前这个项目部署在哪个区域，服务端口是多少？,"部署区域：Azure eastasia  
服务端口：8300",456,147,734,886.74,True,False,Azure eastasia | 8300,,2,34
1,nova_q04,nova,nova_b4,Nova Data,explicit,linear,Nova Data 的最终发布日期是什么时候，负责人是谁？,11月12日，负责人是 David。,4172,194,6788,1910.34,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,Nova Data,explicit,linear_tagged,Nova Data 的最终发布日期是什么时候，负责人是谁？,Nova Data 的最终发布日期是 11月12日，负责人是 David。,4181,219,6806,4609.8,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,Nova Data,explicit,branch,Nova Data 的最终发布日期是什么时候，负责人是谁？,11月12日 | David,862,129,1401,950.33,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,Nova Data,explicit,branch_compact_oracle,Nova Data 的最终发布日期是什么时候，负责人是谁？,"最终发布日期：11月12日  
负责人：David",440,88,727,613.27,True,False,11月12日 | David,,3,31
1,nova_q05,nova,nova_b5,Nova Edge,implicit,linear,当前这个产品的 Pro 方案多少钱，包含多少存储？,确认，当前产品Pro方案价格为149美元/月，包含2TB存储。,4172,449,6784,3747.53,True,False,149美元/月 | 2TB,,4,30
1,nova_q05,nova,nova_b5,Nova Edge,implicit,linear_tagged,当前这个产品的 Pro 方案多少钱，包含多少存储？,$149/月，2TB存储。,4181,165,6802,1837.37,False,False,2TB,,4,30
1,nova_q05,nova,nova_b5,Nova Edge,implicit,branch,当前这个产品的 Pro 方案多少钱，包含多少存储？,Nova Edge Pro 价格：149美元/月，存储：2TB。,872,206,1363,1412.31,True,False,149美元/月 | 2TB,,4,30
